Id,Price,EffectValue,BonusStr,BonusVit,BonusAgi,BonusDex,BonusInt,BonusMnd,BonusLdr,note
IronSword,100,8,2,1,0,0,0,0,0,鉄の剣（武器・全職）。EffectValue＝個人CP加算量
Dagger,80,6,0,0,2,5,0,0,0,短剣（武器・盗賊/斥候/学者）。EffectValue＝個人CP加算量
HuntingBow,140,9,0,0,4,2,0,0,0,弓（武器・斥候/盗賊）。EffectValue＝個人CP加算量
Spear,180,11,3,3,0,0,0,0,0,長槍（武器・重戦士/騎士/斥候）。EffectValue＝個人CP加算量
GreatSword,200,14,6,2,0,0,0,0,0,大剣（武器・重戦士/騎士）。EffectValue＝個人CP加算量
Mace,150,7,2,0,0,0,0,5,0,メイス（武器・神官/騎士/重戦士）。EffectValue＝個人CP加算量
Warhammer,210,12,4,0,0,0,0,3,0,戦槌（武器・重戦士/騎士/神官）。EffectValue＝個人CP加算量
MageStaff,160,9,0,0,0,0,6,0,0,魔導士の杖（武器・魔導士/学者）。EffectValue＝個人CP加算量
Grimoire,220,11,0,0,0,0,4,4,0,魔導書（武器・魔導士/学者/神官）。EffectValue＝個人CP加算量
LeatherArmor,80,15,0,0,2,0,0,0,0,革鎧（防具・全職）。EffectValue＝最大HP加算量
ScholarCoat,130,15,0,0,0,2,3,0,0,学術コート（防具・学者/斥候/盗賊/魔導士）。EffectValue＝最大HP加算量
Robe,100,10,0,0,0,0,3,3,0,ローブ（防具・魔導士/神官/学者）。EffectValue＝最大HP加算量
Chainmail,160,25,0,3,0,0,0,0,0,鎖帷子（防具・重戦士/騎士/斥候/神官）。重装ペナルティ対象外。EffectValue＝最大HP加算量
HeavyArmor,200,35,1,6,0,0,0,0,0,重装鎧（防具・重戦士/騎士/神官）。重装ペナルティ対象。EffectValue＝最大HP加算量
PlateArmor,300,50,2,10,0,0,0,0,0,全身板金鎧（防具・重戦士/騎士）。重装ペナルティ対象。EffectValue＝最大HP加算量
PowerRing,300,8,0,0,0,0,0,0,0,力の指輪（アクセサリー1）。EffectValue＝個人CP加算量
LifeAmulet,300,15,0,0,0,0,0,0,0,生命のお守り（アクセサリー1）。EffectValue＝最大HP加算量
QuickBrooch,300,8,0,0,0,0,0,0,0,俊敏のブローチ（アクセサリー2）。EffectValue＝個人CP加算量
GuardCharm,300,15,0,0,0,0,0,0,0,守りのお守り（アクセサリー2）。EffectValue＝最大HP加算量
